MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|NH3,Mt NH3/yr,,,67.05305156,72.46013634,75.39340133,76.03126823,75.16462919,72.86454404,69.90733666,67.38414223,65.36957692
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|NOx,Mt NO2/yr,,,148.0691201,142.0545675,128.0693932,116.7669733,106.7450649,96.22431793,90.09479457,83.04030458,77.69212605
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|OC,Mt OC/yr,,,33.41476309,31.74097811,29.71473396,26.86687298,24.08939341,21.12855895,18.12670106,15.69485315,14.53966565
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|Sulfur,Mt SO2/yr,,,80.0811064,78.9334725,66.50116354,53.2989375,46.0017566,41.91450594,38.50579276,33.16087278,30.8223939
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|VOC,Mt VOC/yr,,,218.8551347,214.6058346,208.8717357,197.1529845,179.6069539,162.3620867,146.5635657,130.5978594,120.6987505
MESSAGE-GLOBIOM,SSP2-45,World,Land Cover|Cropland,million ha,1536.067288,1546.158999,1616.979017,1661.834421,1709.076062,1760.378984,1802.84978,1852.102964,1905.450753,1953.933994,1979.436388
MESSAGE-GLOBIOM,SSP2-45,World,Land Cover|Forest,million ha,3917.438299,3893.268371,3875.121476,3858.149704,3852.091719,3873.081028,3928.709715,3996.699767,4060.725616,4124.946851,4204.096184
MESSAGE-GLOBIOM,SSP2-45,World,Land Cover|Pasture,million ha,3425.59039,3417.410605,3406.85047,3440.671483,3450.580558,3439.785985,3415.47301,3372.795544,3314.931903,3241.012321,3141.399855
MESSAGE-GLOBIOM,SSP2-45,World,Population,million,6503.13,6867.39,7611.25,8261.99,8787.12,9169.11,9384.7,9456.88,9407.26,9253.95,9032.42
MESSAGE-GLOBIOM,SSP2-45,World,Price|Carbon,US$2005/t CO2,0,0,17.74189,12.65402,7.56615,12.32447,20.07526,32.70048,53.26563,86.7641,141.32958
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy,EJ/yr,464.462,500.995,576.253,644.532,706.987,771.34,825.446,874.944,937.343,1004.551,1099.958
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Biomass,EJ/yr,48.452,55.002,62.533,61.779,61.517,66.514,72.635,80.135,88.542,100.212,116.025
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Biomass|Traditional,EJ/yr,29.3212,30.50309,28.322,26.17095,22.467,18.01845,13.08897,8.09107,2.70169,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,0,0.091,0.512,2.112,6.554,18.664,42.332,67.6,87.669
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Biomass|w/o CCS,EJ/yr,48.452,55.002,62.533,61.688,61.005,64.402,66.081,61.471,46.21,32.612,28.356
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Coal,EJ/yr,121.301,139.727,138.074,139.464,120.545,111.271,120.238,137.779,156.835,192.09,247.4
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,0,1.246,6.132,18.075,40.396,71.474,104.749,154.835,230.147
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Coal|w/o CCS,EJ/yr,121.301,139.727,138.074,138.218,114.413,93.196,79.842,66.305,52.086,37.255,17.253
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Fossil,EJ/yr,394.394,418.551,468.826,519.34,558.132,589.767,601.459,594.704,589.058,567.119,581.708
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,0,1.246,6.132,18.075,41.006,76.242,131.515,220.944,300.561
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Fossil|w/o CCS,EJ/yr,394.394,418.551,468.826,518.094,552,571.692,560.453,518.462,457.543,346.175,281.147
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Gas,EJ/yr,100.458,105.706,123.163,156.878,204.03,247.435,282.524,303.444,316.374,296.862,282.655
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0.61,4.768,26.766,66.109,70.414
